Comparto;Denominazione;Comune;Indirizzo;Attivita;Da rilevare
Agricoltura, agroalimentare e indotto;SICILY FOOD S.r.l.;Aragona;;lavorazione e conservazione di prodotti ittici;SI
Agricoltura, agroalimentare e indotto;MANCUSO VINCENZO & C. S.r.l.;Aragona;;produzione di gelati;SI
Agricoltura, agroalimentare e indotto;MANGIMIFICIO S. ANTONIO S.r.l.;Aragona;;produzione di prodotti per l’alimentazione degli animali;SI
Agricoltura, agroalimentare e indotto;DI STEFANO DOLCIARIA S.r.l.;Raffadali;;industria dolciaria;SI
Agricoltura, agroalimentare e indotto;F.LLI CUFFARO S.r.l.;Raffadali;;commercio all’ingrosso di frutta e ortaggi;SI
Agricoltura, agroalimentare e indotto;LA MANDORLA di Curaba & Gentile S.r.l.;Raffadali;;commercio all’ingrosso di frutta e ortaggi;SI
Agricoltura, agroalimentare e indotto;PRIMAGEL S.r.l.;Aragona;;commercio all’ingrosso di prodotti alimentari;SI
Agricoltura, agroalimentare e indotto;ARGO.GEL S.r.l.;Aragona;;commercio all’ingrosso di prodotti alimentari;SI
Agricoltura, agroalimentare e indotto;TANOGEL di Gaetano Mario Di Vincenzo;Santa Elisabetta;;commercio all’ingrosso di prodotti surgelati;SI
Agricoltura, agroalimentare e indotto;F.LLI FRAGAPANE di Fragapane Francesco e C. S.n.c.;Santa Elisabetta;;commercio all’ingrosso di prodotti alimentari;SI
Agricoltura, agroalimentare e indotto;GUSTO SICANO S.r.l. Società Benefit;Joppolo Giancaxio;;commercio di prodotti alimentari tipici;SI
Agricoltura, agroalimentare e indotto;A.C.I.M. S.r.l. Società Agricola;Sant’Angelo Muxaro;;attività agricola;SI
Agricoltura, agroalimentare e indotto;D’ANNA GIOVANNA Impresa Agricola;Joppolo Giancaxio;;attività agricola;SI
Agricoltura, agroalimentare e indotto;Azienda agricola Terrazzino;Raffadali;;mandorle, olive, olio e uva da vino;SI
Agricoltura, agroalimentare e indotto;Azienda agricola Vizzì Vincenzo;Raffadali;via F 23 n. 9;produzioni agricole;
Agricoltura, agroalimentare e indotto;CaruanaFruit;Raffadali;;azienda agricola, agrumi e olio, vendita diretta e online;SI
Agricoltura, agroalimentare e indotto;Vinti Rag. Baldassare;Raffadali;via Porta Agrigento 98;commercio e riparazione di macchine agricole;
Agricoltura, agroalimentare e indotto;Rizzo Domenico;Raffadali;via Cuneo 1/P;commercio e riparazione di macchine agricole;
Ristorazione, panificazione e pasticceria;LE CUSPIDI S.r.l.;Raffadali;;bar, pasticceria e gelateria, attiva dal 1960 e specializzata nella lavorazione del pistacchio di Raffadali;SI
Ristorazione, panificazione e pasticceria;L’ANTICO FORNO S.a.s. di Galvano Gianluca e Cuffaro Vincenza & C.;Raffadali;;produzione di prodotti di panetteria freschi;SI
Ristorazione, panificazione e pasticceria;Panificio Criscenti;Raffadali;via Tivoli 19;panificazione;
Ristorazione, panificazione e pasticceria;F.lli Criscenti di Criscenti Francesco e Calogero S.n.c.;Raffadali;;panificazione e pasticceria;SI
Ristorazione, panificazione e pasticceria;Excelsior S.n.c. di Tarallo Luigi;Raffadali;;panificio e pasticceria;SI
Ristorazione, panificazione e pasticceria;Pasticceria Lionti;Raffadali;;pasticceria artigianale, produzione fresca e secca;SI
Ristorazione, panificazione e pasticceria;Pasticceria Bar Europa di Angelo Miccichè;Aragona;via Roma 187;pasticceria e bar;
Ristorazione, panificazione e pasticceria;Terra Dunci;Aragona;;panificazione artigianale, gastronomia e dolci;SI
Ristorazione, panificazione e pasticceria;S.I.S. Società Italiana Servizi S.r.l.;Joppolo Giancaxio;;ristorazione con somministrazione;SI
Ristorazione, panificazione e pasticceria;RIZZO GAETANO;Santa Elisabetta;;bar ed esercizi simili;SI
Ristorazione, panificazione e pasticceria;Ristorante Pizzeria Kometa;Santa Elisabetta;contrada Merceri;ristorazione;
Ristorazione, panificazione e pasticceria;Marlò Beef Bar;Raffadali;via Cordova 34;ristorazione;
Ristorazione, panificazione e pasticceria;Ristorante Dang Giapponese e Cinese;Raffadali;via F22 n. 28;ristorazione;
Ristorazione, panificazione e pasticceria;That’s Amore Pizzeria;Raffadali;via F 16 n. 12;pizzeria;
Ristorazione, panificazione e pasticceria;Pizzeria Mistick Pizza2;Raffadali;piazza Progresso 38;pizzeria;
Ristorazione, panificazione e pasticceria;Metabirrificio Il Mangione;Raffadali;contrada Modaccamo 800;birrificio e ristorazione;
Ristorazione, panificazione e pasticceria;Movida Cocktails Club;Raffadali;piazza Progresso;bar e intrattenimento;
Ristorazione, panificazione e pasticceria;Colletto Giuseppe;Raffadali;via F 1 n. 2;ristorazione;
Turismo, ricettività e servizi al territorio;VAL DI KAM S.r.l.s.;Sant’Angelo Muxaro;;servizi turistici e di prenotazione, operatore di riferimento per il turismo rurale dei Sicani;SI
Turismo, ricettività e servizi al territorio;The Arabian Horse Ranch;Santa Elisabetta;contrada Carbonio 6;ristorazione e turismo equestre;
Turismo, ricettività e servizi al territorio;MONDOFREE;Raffadali;;strutture ricettive per brevi soggiorni;SI
Edilizia, impiantistica e carpenteria metallica;LA PORTA INDUSTRIES S.r.l.;Aragona;;fabbricazione di strutture metalliche;SI
Edilizia, impiantistica e carpenteria metallica;AIRCOM S.r.l.;Aragona;;fabbricazione di serramenti metallici;SI
Edilizia, impiantistica e carpenteria metallica;ITALSERRAMENTI S.r.l.;Aragona;;fabbricazione di serramenti metallici;SI
Edilizia, impiantistica e carpenteria metallica;TECNO EDIL S.r.l.;Aragona;;fabbricazione di serramenti metallici;SI
Edilizia, impiantistica e carpenteria metallica;SITAL S.r.l.;Aragona;;fabbricazione di serramenti metallici;SI
Edilizia, impiantistica e carpenteria metallica;DF INFISSI S.r.l.;Raffadali;;fabbricazione di serramenti metallici;SI
Edilizia, impiantistica e carpenteria metallica;MILITELLO COSTRUZIONI S.r.l.;Santa Elisabetta;;installazione di impianti elettrici;SI
Edilizia, impiantistica e carpenteria metallica;CATUARA DAMIANO SALVATORE;Santa Elisabetta;;costruzione di edifici;SI
Edilizia, impiantistica e carpenteria metallica;BRUNO & FRETTO S.r.l.;Raffadali;;costruzione di edifici;SI
Edilizia, impiantistica e carpenteria metallica;EDIL F.G.M. S.r.l.;Raffadali;;commercio di materiali da costruzione;SI
Edilizia, impiantistica e carpenteria metallica;IMPRETECH S.r.l.;Aragona;;costruzione di opere di ingegneria civile;SI
Edilizia, impiantistica e carpenteria metallica;OMNISERVICE ENGINEERING S.r.l.;Aragona;;costruzione di edifici;SI
Edilizia, impiantistica e carpenteria metallica;T.I.M.E.T.I.C. S.r.l.;Joppolo Giancaxio;;costruzione di edifici;SI
Commercio e distribuzione;MATTANA S.r.l.;Raffadali;;commercio all’ingrosso;SI
Commercio e distribuzione;F.LLI FRAGAPANE S.r.l.;Santa Elisabetta;corso Umberto I 538;commercio all’ingrosso di bevande;
Commercio e distribuzione;FADIS S.r.l.;Raffadali;;commercio al dettaglio in esercizi non specializzati;SI
Commercio e distribuzione;FP MARKET S.r.l.;Santa Elisabetta;;commercio al dettaglio alimentare, supermercato;SI
Commercio e distribuzione;G.R. MARKET S.r.l.;Raffadali;;commercio al dettaglio alimentare;SI
Commercio e distribuzione;MILISCIA S.r.l.;Raffadali;;commercio all’ingrosso non specializzato;SI
Commercio e distribuzione;EURORAPPRESENTANZE VENDING S.r.l.;Raffadali;;commercio e distribuzione automatica;SI
Commercio e distribuzione;START OFF S.r.l.;Raffadali;;commercio al dettaglio di elettrodomestici;SI
Commercio e distribuzione;BARTOLOMEO ITALIAN DESIGN S.r.l.;Raffadali;;commercio al dettaglio di mobili;SI
Commercio e distribuzione;BARTOLOMEO ARREDA 2.0 S.r.l.;Joppolo Giancaxio;;commercio al dettaglio di mobili;SI
Commercio e distribuzione;ARCHIDESIGN S.r.l. Semplificata;Joppolo Giancaxio;;commercio al dettaglio di articoli per l’arredamento;SI
Commercio e distribuzione;ROSS GROUP S.r.l.;Raffadali;;commercio al dettaglio di abbigliamento e calzature;SI
Commercio e distribuzione;INTIMO IN S.r.l.s.;Raffadali;;commercio al dettaglio di abbigliamento;SI
Commercio e distribuzione;DIFFUSIONE EDITORIALE AGRIGENTINA S.r.l.;Raffadali;;commercio all’ingrosso di libri e riviste;SI
Commercio e distribuzione;HERBEKA S.r.l.;Aragona;;commercio all’ingrosso di prodotti farmaceutici;SI
Commercio e distribuzione;COVERI CL S.r.l.;Aragona;;commercio all’ingrosso di metalli;SI
Commercio e distribuzione;FRENDA GROUP S.r.l.;Joppolo Giancaxio;;commercio all’ingrosso non specializzato;SI
Commercio e distribuzione;DMOTORS S.r.l.;Sant’Angelo Muxaro;;commercio di autoveicoli;SI
Commercio e distribuzione;PRAKCINT S.r.l.s.;Sant’Angelo Muxaro;;commercio al dettaglio in esercizi non specializzati;SI
Commercio e distribuzione;CIMINO RAFFAELE;Sant’Angelo Muxaro;;commercio al dettaglio ambulante;SI
Trasporti e logistica;ERANA AUT.CARB. S.r.l.;Raffadali;;trasporto di merci su strada;SI
Trasporti e logistica;TABONE TRASPORTI S.r.l.;Santa Elisabetta;;trasporto di merci su strada;SI
Trasporti e logistica;F.LLI CAMILLERI & ARGENTO S.r.l.;Raffadali;;trasporto di passeggeri;SI
Trasporti e logistica;AUTOSERVIZI di Fragapane Pietro & C. S.n.c.;Santa Elisabetta;;trasporto terrestre di passeggeri;SI
Trasporti e logistica;ATHENA BUS VIAGGI S.r.l.;Joppolo Giancaxio;;trasporto di passeggeri e noleggio autobus;SI
Servizi ambientali e igiene urbana;ISEDA S.r.l.;Aragona;;raccolta di rifiuti non pericolosi;SI
Servizi ambientali e igiene urbana;S.E.A.P. – Società Europea Appalti Pubblici S.r.l.;Aragona;;Società Europea Appalti Pubblici S.r.l.** (Aragona) – Società Europea Appalti Pubblici S.r.l.** (Aragona) – raccolta di rifiuti non pericolosi;SI
Servizi ambientali e igiene urbana;TUTELA AMBIENTE S.r.l.;Aragona;;raccolta di rifiuti non pericolosi;SI
Servizi ambientali e igiene urbana;EURODEMOLIZIONI S.r.l.;Aragona;;demolizioni e trattamento dei rifiuti;SI
Servizi ambientali e igiene urbana;GIGLIONE SERVIZI ECOLOGICI S.r.l.;Joppolo Giancaxio;;attività di risanamento e servizi ecologici;SI
Servizi alla persona e comparto socio-sanitario;SANITARIA DELFINO Società Cooperativa Sociale;Raffadali;;assistenza sociale non residenziale;SI
Servizi alla persona e comparto socio-sanitario;Società Cooperativa Sociale IL SORRISO;Raffadali;;servizi di supporto alle attività amministrative;SI
Servizi alla persona e comparto socio-sanitario;MEDICAL GAS CRIOGENICI S.r.l.;Aragona;;fabbricazione di apparecchi medicali;SI
Servizi alla persona e comparto socio-sanitario;CENTRO DENTALE TABUSO S.r.l.;Santa Elisabetta;;studio odontoiatrico;SI
Servizi alla persona e comparto socio-sanitario;FARMACIA FRAGAPANE MIRELLA;Santa Elisabetta;;farmacia;SI
Servizi alla persona e comparto socio-sanitario;FARMACIA SCIMONELLI S.r.l.;Sant’Angelo Muxaro;;farmacia;SI
Artigianato, manifattura e servizi alle imprese;MED CART GALVANO S.r.l.;Raffadali;;fabbricazione di carta e imballaggi;SI
Artigianato, manifattura e servizi alle imprese;UNIPLAST SICILIA Società Cooperativa;Aragona;;fabbricazione di imballaggi in materie plastiche;SI
Artigianato, manifattura e servizi alle imprese;TEKA S.r.l.;Raffadali;;attività manifatturiera e di recupero;SI
Artigianato, manifattura e servizi alle imprese;CARROZZERIA F.LLI LOMBARDO S.n.c.;Santa Elisabetta;;riparazione di carrozzerie di autoveicoli;SI
Artigianato, manifattura e servizi alle imprese;F.LLI COLUZZI di Coluzzi Giovanni e Coluzzi Davide S.n.c.;Aragona;;riparazione di carrozzerie;SI
Artigianato, manifattura e servizi alle imprese;LA ROSA L’ARTE DELLA CERA S.r.l.s.;Santa Elisabetta;;produzione e commercio di articoli in cera;SI
Artigianato, manifattura e servizi alle imprese;PENTA SERVIZI S.r.l.;Aragona;;servizi di supporto alle imprese;SI
Artigianato, manifattura e servizi alle imprese;SAR CONSULTING S.r.l.;Aragona;;consulenza imprenditoriale;SI
Artigianato, manifattura e servizi alle imprese;MILITELLO GIUSEPPE;Santa Elisabetta;;elaborazione elettronica dei dati;SI
Artigianato, manifattura e servizi alle imprese;EUROFORM;Aragona;;corsi di formazione e aggiornamento professionale, possibile interlocutore anche quale ente formativo;SI
